醮-蘸	桌子上依旧放着文件夹，[醮]水笔；文件夹平摊着，仿佛主人随时会来办公似的	桌子上依旧放着文件夹，[蘸]水笔；文件夹平摊着，仿佛主人随时会来办公似的
脉膊-脉搏	乐曲速度有如[脉膊]，忽快忽慢是不正常的，这是有病的表征	乐曲速度有如[脉搏]，忽快忽慢是不正常的，这是有病的表征
凭添-平添	阿秀淡淡地笑着，头上插着一朵山茶，又[凭添]了几分秀色	阿秀淡淡地笑着，头上插着一朵山茶，又[平添]了几分秀色
气慨-气概	他身上有一股“老牛撞南墙，到死不回头”的[气慨]，一点不为眼前利益所动	他身上有一股“老牛撞南墙，到死不回头”的[气概]，一点不为眼前利益所动
迁徒-迁徙	鸟类的[迁徒]，不是一种被动的逃避行为，而是一种主动的、看上去像有周密计划的旅行	鸟类的[迁徙]，不是一种被动的逃避行为，而是一种主动的、看上去像有周密计划的旅行
亲睐-青睐	新款一上市便产生轰动效应，尤其是受到了年轻女性的[亲睐]，创造了夏季销售高峰	新款一上市便产生轰动效应，尤其是受到了年轻女性的[青睐]，创造了夏季销售高峰
杀戳-杀戮	展览会上，一张张中国民众惨遭[杀戳]的照片，揭示了日本侵略者犯下的滔天罪行	展览会上，一张张中国民众惨遭[杀戮]的照片，揭示了日本侵略者犯下的滔天罪行
松驰-松弛	来人不过五十多岁，但一脸的沧桑感，连眼角也明显[松驰]下来	来人不过五十多岁，但一脸的沧桑感，连眼角也明显[松弛]下来
停止-停滞	迈开脚步，再长的路也不在话下；[停止]不前，再短的路也难以到达	迈开脚步，再长的路也不在话下；[停滞]不前，再短的路也难以到达
图象-图像	用户收到一个邮件，有他自己的[图象]、名字、落款和日期	用户收到一个邮件，有他自己的[图像]、名字、落款和日期
弦律-旋律	绿树婆娑，琴声悠扬，整个岛上荡漾着优美的[弦律]，让人如临仙境	绿树婆娑，琴声悠扬，整个岛上荡漾着优美的[旋律]，让人如临仙境
想像-想象	[想像]一下上班喝酒，或喝得醉醺醺的去上班，放在今天一定会被开除	[想象]一下上班喝酒，或喝得醉醺醺的去上班，放在今天一定会被开除
潇傻-潇洒	然后[潇傻]地摔门而去了	然后[潇洒]地摔门而去了
欣尝-欣赏	不要总是挑剔，总是埋怨，换一副[欣尝]的眼光，你也许会有意想不到的收获	不要总是挑剔，总是埋怨，换一副[欣赏]的眼光，你也许会有意想不到的收获
渲泄-宣泄	情绪不佳要渲泄，如不能凑效，干脆痛哭一场。哭是[渲泄]情绪的一种好方法	情绪不佳要渲泄，如不能凑效，干脆痛哭一场。哭是[宣泄]情绪的一种好方法
一幅-一副	远远望去，门上[一幅]对联，喜气洋洋。那上面写的是：向阳门第春常在，积善人家庆有余	远远望去，门上[一副]对联，喜气洋洋。那上面写的是：向阳门第春常在，积善人家庆有余
膺品-赝品	灯光下面，人头攒动。这条街上陈列的，其实大都是[膺品]，但是还是热闹非凡	灯光下面，人头攒动。这条街上陈列的，其实大都是[赝品]，但是还是热闹非凡
尤如-犹如	埋伏在左侧的三连，听到冲锋号响，[尤如]猛虎下山，直扑敌人阵地	埋伏在左侧的三连，听到冲锋号响，[犹如]猛虎下山，直扑敌人阵地
脏款-赃款	在调查过程中，陈又将大批[脏款]转移至岳父处，专案组找他谈话时，他依旧装得若无其事	在调查过程中，陈又将大批[赃款]转移至岳父处，专案组找他谈话时，他依旧装得若无其事
针贬-针砭	文坛浮躁成风，他曾写过一篇长文，对此作了尖锐的[针贬]	文坛浮躁成风，他曾写过一篇长文，对此作了尖锐的[针砭]
震憾-震撼	事情就在自己的身边发生，张小雨看到了这一切，内心受到了极大的[震憾]	事情就在自己的身边发生，张小雨看到了这一切，内心受到了极大的[震撼]
重迭-重叠	机构[重迭]，人浮于事，效率低下，已是普遍现象。你说不改革行吗	机构[重叠]，人浮于事，效率低下，已是普遍现象。你说不改革行吗
装祯-装帧	这套书由名家[装祯]，用料并不高，但显得相当别致，在书市一亮相便赢得喝彩	这套书由名家[装帧]，用料并不高，但显得相当别致，在书市一亮相便赢得喝彩
追朔-追溯	读完此书，你不仅能[追朔]到自己姓氏的源头，还会增加许多有关中国历史和文化制度的知识	读完此书，你不仅能[追溯]到自己姓氏的源头，还会增加许多有关中国历史和文化制度的知识
阻击-足迹	要留下人生[阻击]，就必须一步一个脚印	要留下人生[足迹]，就必须一步一个脚印
作事-做事	现在，我们只能凭着职业道德为公司[作事]了	现在，我们只能凭着职业道德为公司[做事]了
坐阵-坐镇	先是[坐阵]香港，从外部着手，在美国开研讨会；造足国际声势后，再向国内渗透	先是[坐镇]香港，从外部着手，在美国开研讨会；造足国际声势后，再向国内渗透
泊来品-舶来品	就在离车站不远处，有一条小街，一个接一个摊子，摆出来的全是[泊来品]	就在离车站不远处，有一条小街，一个接一个摊子，摆出来的全是[舶来品]
大姆指-大拇指	日前逛书店，帮儿子买了一套丛书，他乐得直冲我竖[大姆指]	日前逛书店，帮儿子买了一套丛书，他乐得直冲我竖[大拇指]
渡假村-度假村	一走进[渡假村]的大门，只见两排挺拔的白杨迎风站立，仿佛在夹道欢迎来宾似的	一走进[度假村]的大门，只见两排挺拔的白杨迎风站立，仿佛在夹道欢迎来宾似的
侯车室-候车室	正是春节前夕，[侯车室]里人头攒动，人声鼎沸，几乎找不到插脚的地方	正是春节前夕，[候车室]里人头攒动，人声鼎沸，几乎找不到插脚的地方
名信片-明信片	事先买好一打[名信片]，全部贴上邮票，填好地址、姓名，过一段时间往信筒里丢一张	事先买好一打[明信片]，全部贴上邮票，填好地址、姓名，过一段时间往信筒里丢一张
入场卷-入场券	法国队昨天发挥出色，战胜了东道主日本队，提前一轮获得了奥运会[入场卷]	法国队昨天发挥出色，战胜了东道主日本队，提前一轮获得了奥运会[入场券]
搔痒病-瘙痒病	老年人发生[搔痒病]，往往一躯干最痒，患者有针刺、灼热或虫爬性感	老年人发生[瘙痒病]，往往一躯干最痒，患者有针刺、灼热或虫爬性感
水笼头-水龙头	[水笼头]的哗哗声，砧板的咚咚声，砂锅的呼呼声……在小厨房里谱成了一支特殊的乐曲	[水龙头]的哗哗声，砧板的咚咚声，砂锅的呼呼声……在小厨房里谱成了一支特殊的乐曲
挖墙角-挖墙脚	我还记得那幅漫画，几个[挖墙角]者兴奋地抱着砖头，殊不知一堵高墙正向他们压下来	我还记得那幅漫画，几个[挖墙脚]者兴奋地抱着砖头，殊不知一堵高墙正向他们压下来
不胫而走-不胫而走	作为医生，他本想从容地面对死神，[不胫而走]的消息，却一下子把他打入了地狱	作为医生，他本想从容地面对死神，[不胫而走]的消息，却一下子把他打入了地狱
不能自己-不能自已	三年的汗水，终于有了回报。站在领奖台上，她兴奋得[不能自己]，泪水刷刷地流了下来	三年的汗水，终于有了回报。站在领奖台上，她兴奋得[不能自已]，泪水刷刷地流了下来
矫揉造作-矫揉造作	握手，寒暄，落座，一切如仪，但我总觉有一种[矫揉造作]的感觉	握手，寒暄，落座，一切如仪，但我总觉有一种[矫揉造作]的感觉
洁白无暇-洁白无瑕	白色，给人一种清新的、[洁白无暇]的感觉，所以大部分的女性喜欢白色	白色，给人一种清新的、[洁白无瑕]的感觉，所以大部分的女性喜欢白色
竭泽而鱼-竭泽而渔	粗制滥造，哄抬物价，这种[竭泽而鱼]的做法，最后必然会让自己受到惩罚	粗制滥造，哄抬物价，这种[竭泽而渔]的做法，最后必然会让自己受到惩罚
金榜提名-金榜题名	饭店大堂张灯结彩，一派节日气氛。[金榜提名]的十大餐饮领军人物，将在这里接受颁奖	饭店大堂张灯结彩，一派节日气氛。[金榜题名]的十大餐饮领军人物，将在这里接受颁奖
九宵云外-九霄云外	一到球场上，李云顿时生龙活虎，早已把烦恼抛到了[九宵云外]	一到球场上，李云顿时生龙活虎，早已把烦恼抛到了[九霄云外]
灸手可热-炙手可热	三年以前，他买下了天辉大楼，开了一座娱乐城，成了当地威震一方、[灸手可热]的人物	三年以前，他买下了天辉大楼，开了一座娱乐城，成了当地威震一方、[炙手可热]的人物
滥芋充数-滥竽充数	自从钢琴热掀起后，钢琴教师身价倍增，一批“三脚猫”也混迹其中，[滥芋充数]	自从钢琴热掀起后，钢琴教师身价倍增，一批“三脚猫”也混迹其中，[滥竽充数]
美仑美奂-美轮美奂	眼前是一座[美仑美奂]的歌舞厅。每到周末，这里都会有精彩的文艺演出	眼前是一座[美轮美奂]的歌舞厅。每到周末，这里都会有精彩的文艺演出
默守成规-墨守成规	只作一些小修小补，甚至[默守成规]，一成不变，那是很难改变这种不正常的市场关系的	只作一些小修小补，甚至[墨守成规]，一成不变，那是很难改变这种不正常的市场关系的
沤心沥血-呕心沥血	在演出市场低迷的情况下，她知难而上，[沤心沥血]，一心扑在舞台上	在演出市场低迷的情况下，她知难而上，[呕心沥血]，一心扑在舞台上
旁征博引-旁征博引	陈教授授课的最大特点，是善于[旁征博引]，单是一句“手如柔荑”，引了二十几条书证	陈教授授课的最大特点，是善于[旁征博引]，单是一句“手如柔荑”，引了二十几条书证
迫不急待-迫不及待	接到信后，真是[迫不急待]，连夜赶到县城，坐等第一班车发车	接到信后，真是[迫不及待]，连夜赶到县城，坐等第一班车发车
磬竹难书-罄竹难书	日本侵略者长驱直入，一路烧杀抢掠，丧失人性，犯下的罪行[磬竹难书]	日本侵略者长驱直入，一路烧杀抢掠，丧失人性，犯下的罪行[罄竹难书]
趋之若骛-趋之若鹜	任何一种产品，社会有需求，消费者能接受其价格，生产者必定[趋之若骛]	任何一种产品，社会有需求，消费者能接受其价格，生产者必定[趋之若鹜]
人情事故-人情世故	中国重人情，讲关系，早已成为一种传统，因而有[人情事故]皆学问之说	中国重人情，讲关系，早已成为一种传统，因而有[人情世故]皆学问之说
声名雀起-声名鹊起	如此频繁炒作，即使赢得[声名雀起]，也只能说浪得虚名，有什么值得骄傲呢	如此频繁炒作，即使赢得[声名鹊起]，也只能说浪得虚名，有什么值得骄傲呢
食不裹腹-食不果腹	“[食不裹腹]，衣不蔽体”早已成为历史，今天，人们对饮食的要求，已提高到一个崭新的阶段	“[食不果腹]，衣不蔽体”早已成为历史，今天，人们对饮食的要求，已提高到一个崭新的阶段
世外桃园-世外桃源	阳光穿射而入，配着店堂排列得整整齐齐的书架，真是一个书香花香阳光普照的[世外桃园]	阳光穿射而入，配着店堂排列得整整齐齐的书架，真是一个书香花香阳光普照的[世外桃源]
死皮癞脸-死皮赖脸	遇到这种[死皮癞脸]的纠缠，你千万不要心软！“当断不断，必受其乱”呀	遇到这种[死皮赖脸]的纠缠，你千万不要心软！“当断不断，必受其乱”呀
谈笑风生-谈笑风生	有“飞人”之称的美国篮球巨星乔丹，于5月21日访问香港，面对记者的提问[谈笑风生]	有“飞人”之称的美国篮球巨星乔丹，于5月21日访问香港，面对记者的提问[谈笑风生]
萎靡不振-萎靡不振	自从王书记来后，公司里重新建章立制，订出三年发展计划，[萎靡不振]的空气为之一扫	自从王书记来后，公司里重新建章立制，订出三年发展计划，[萎靡不振]的空气为之一扫
修容一新-修茸一新	待学生从农村基地回来时，校舍已[修容一新]，三幢大楼披上了节日的盛装	待学生从农村基地回来时，校舍已[修茸一新]，三幢大楼披上了节日的盛装
悬梁刺股-悬梁刺股	没有笨鸟先飞的自觉，没有[悬梁刺股]的决心，还谈什么攀登科学高峰	没有笨鸟先飞的自觉，没有[悬梁刺股]的决心，还谈什么攀登科学高峰
言简意骇-言简意赅	全文一气呵成，[言简意骇]，虽不足五百字，却堪称小品中的上佳之作	全文一气呵成，[言简意赅]，虽不足五百字，却堪称小品中的上佳之作
一愁莫展-一筹莫展	眼看大雁南飞，秋风一阵紧似一阵，寒衣还是没有影儿，团部几位领导急得[一愁莫展]	眼看大雁南飞，秋风一阵紧似一阵，寒衣还是没有影儿，团部几位领导急得[一筹莫展]
一股作气-一鼓作气	原定五年完成临摹任务，但自经历这场变故，他已失去了[一股作气]的心劲	原定五年完成临摹任务，但自经历这场变故，他已失去了[一鼓作气]的心劲
一诺千金-一诺千斤	[一诺千金]是中华民族的传统美德。与朋友交当坚守一个信字	[一诺千斤]是中华民族的传统美德。与朋友交当坚守一个信字
一如继往-一如既往	尽管发生了这场误会，我们仍是坚守环保工作者应有的立场，[一如继往]地关心我们的地球	尽管发生了这场误会，我们仍是坚守环保工作者应有的立场，[一如既往]地关心我们的地球
饮鸠止渴-饮鸩止渴	市场竞争趋于白热化，不在产品质量上下功夫，热衷于打价格战，是无异于[饮鸠止渴]	市场竞争趋于白热化，不在产品质量上下功夫，热衷于打价格战，是无异于[饮鸩止渴]
有持无恐-有恃无恐	拿到批文以后，这家皮包公司[有持无恐]，公然在大楼前贴出了招聘广告	拿到批文以后，这家皮包公司[有恃无恐]，公然在大楼前贴出了招聘广告
再接再厉-再接再厉	中国排球协会的领导人亲临观战，希望女排姑娘乘胜追击，[再接再厉]，拿下最后一仗	中国排球协会的领导人亲临观战，希望女排姑娘乘胜追击，[再接再厉]，拿下最后一仗
蜇伏一隅-蛰伏一隅	这些人往往不露形迹，[蜇伏一隅]，其实却是胸怀绝技，千万不能怠慢	这些人往往不露形迹，[蛰伏一隅]，其实却是胸怀绝技，千万不能怠慢
蛛丝蚂迹-蛛丝马迹	刑侦组在第一时间赶到现场，一小时后，他们在一片狼藉之中，发现了犯罪分子留下的[蛛丝蚂迹]	刑侦组在第一时间赶到现场，一小时后，他们在一片狼藉之中，发现了犯罪分子留下的[蛛丝马迹]
自抱自弃-自暴自弃	年轻意味着责任，意味着希望，意味着未来，怎么能遇到一点挫折就[自抱自弃]呢	年轻意味着责任，意味着希望，意味着未来，怎么能遇到一点挫折就[自暴自弃]呢
走头无路-走投无路	看到来的人多，“梅花鹿”慌了神，[走头无路]之际，它“扑通”一声跳进了西湖	看到来的人多，“梅花鹿”慌了神，[走投无路]之际，它“扑通”一声跳进了西湖
